CATS21,IMLSN1,HVSI11,ES_011(X),ES_011(Y),ES_011(X-VRN),ES_011(Y-VRN),ES_021(X),ES_021(Y),ES_021(X-VRN),ES_021(Y-VRN),ES_022(X),ES_022(Y),ES_022(X-VRN),ES_022(Y-VRN),EQ_021(X),EQ_021(Y),GS_T_1,ESP021,CHP021,Phase Meter-Freq,Phase Meter-Phase,DATE/TIME,TYPE_0,TYPE_1,CHARGE_STATE_0,CHARGE_STATE_1,INJ_VOLTAGE,SF6_pressure,TOTAL_UP_CHARGE,GVM,Energy
2.192918193,1.7997558,-160.8791209,0.1583577713,-1.284457478,-0.005860805861,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4366300366,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,0.318,15-11-2021 10:36:34,1,0,6,9,-160,87.4,42,12.798,120
2.192918193,1.803418803,-161.1721612,0.1583577713,-1.284457478,-0.004395604396,-0.0336996337,0.4750733138,-0.1114369501,-0.2783882784,-0.4556776557,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.831,15-11-2021 10:36:38,1,0,6,9,-160,87.4,42,12.798,120
2.197802198,1.802197802,-160.8791209,0.1583577713,-1.284457478,-0.004395604396,-0.03223443223,0.4750733138,-0.1114369501,-0.2769230769,-0.4424908425,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.732,15-11-2021 10:36:42,1,0,6,9,-160,87.4,42,12.798,120
2.192918193,1.7997558,-161.0744811,0.1583577713,-1.284457478,-0.005860805861,-0.03223443223,0.4750733138,-0.1114369501,-0.2798534799,-0.4395604396,0.01759530792,0.2521994135,-0.2974358974,-0.2857142857,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.499,15-11-2021 10:36:46,1,0,6,9,-160,87.4,42,12.798,120
2.197802198,1.803418803,-160.8791209,0.1583577713,-1.284457478,-0.005860805861,-0.03076923077,0.4750733138,-0.1114369501,-0.2769230769,-0.4556776557,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,0.144,15-11-2021 10:36:50,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.7997558,-160.8791209,0.1583577713,-1.284457478,-0.004395604396,-0.0336996337,0.4750733138,-0.1114369501,-0.2783882784,-0.4336996337,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,0.092,15-11-2021 10:36:55,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.803418803,-160.8791209,0.1583577713,-1.284457478,-0.005860805861,-0.03076923077,0.4750733138,-0.1114369501,-0.2769230769,-0.4600732601,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,0.083,15-11-2021 10:36:59,1,0,6,9,-160,87.4,42,12.798,120
2.19047619,1.802197802,-161.0744811,0.1583577713,-1.284457478,-0.005860805861,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4395604396,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.936,15-11-2021 10:37:03,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.7997558,-161.0744811,0.1583577713,-1.284457478,-0.004395604396,-0.03223443223,0.4750733138,-0.1114369501,-0.2769230769,-0.4498168498,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.878,15-11-2021 10:37:07,1,0,6,9,-160,87.4,42,12.798,120
2.197802198,1.7997558,-161.0744811,0.1583577713,-1.284457478,-0.005860805861,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4380952381,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.617,15-11-2021 10:37:11,1,0,6,9,-160,87.4,42,12.798,120
2.19047619,1.7997558,-161.0744811,0.1583577713,-1.284457478,-0.005860805861,-0.03076923077,0.4750733138,-0.1114369501,-0.2783882784,-0.4380952381,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.873,15-11-2021 10:37:15,1,0,6,9,-160,87.4,42,12.798,120
