CATS21,IMLSN1,HVSI11,FOCSN1,EXTSN1,BM_IJ1,ES_011(X),ES_011(Y),ES_011(X-VRN),ES_011(Y-VRN),ES_021(X),ES_021(Y),ES_021(X-VRN),ES_021(Y-VRN),ES_022(X),ES_022(Y),ES_022(X-VRN),ES_022(Y-VRN),EQ_021(X),EQ_021(Y),GVMTK1,GS_T_1,ESP021,CHP021,MQX031,MQY031,MSX031,MSX031,BM_AN1,Phase Meter-Freq,Phase Meter-Phase,DATE/TIME,TYPE_0,TYPE_1,CHARGE_STATE_0,CHARGE_STATE_1,INJ_VOLTAGE,SF6_pressure,TOTAL_UP_CHARGE,GVM,Energy
2.227106227,0.5995115995,-190.3785104,0.6874236874,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2652014652,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3355311355,-0.1583577713,0.2639296188,-0.4732600733,-0.2857142857,4.728937729,4.278388278,13.12332112,141.362407,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.682,23-11-2021 09:44:59,0,1,6,11,-190,87.2,45.5,12.88,155
2.222222222,0.5946275946,-190.1831502,0.6898656899,7.003663004,20.8346685,-0.09970674487,-0.4046920821,-0.2652014652,-0.2827838828,0.5219941349,-0.005865102639,-0.2754578755,-0.3355311355,-0.1583577713,0.2639296188,-0.4732600733,-0.2871794872,4.728937729,4.278388278,13.12332112,141.362407,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.469,23-11-2021 09:45:03,0,1,6,11,-190,87.2,45.5,12.88,155
2.224664225,0.5958485958,-190.4761905,0.6898656899,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2652014652,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3296703297,-0.1583577713,0.2639296188,-0.4732600733,-0.2857142857,4.728937729,4.278388278,13.13308913,141.362407,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.149,23-11-2021 09:45:07,0,1,6,11,-190,87.2,45.5,12.88,155
2.227106227,0.5995115995,-190.3785104,0.6862026862,6.998778999,20.8346685,-0.09970674487,-0.4046920821,-0.2637362637,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.336996337,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.12820513,141.362407,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.7,23-11-2021 09:45:11,0,1,6,11,-190,87.2,45.5,12.88,155
2.222222222,0.5982905983,-190.3785104,0.6886446886,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2827838828,0.5219941349,-0.005865102639,-0.2754578755,-0.3428571429,-0.1583577713,0.2639296188,-0.4732600733,-0.2871794872,4.728937729,4.278388278,13.11843712,141.5087957,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.059,23-11-2021 09:45:15,0,1,6,11,-190,87.2,45.5,12.88,155
2.227106227,0.5946275946,-190.3785104,0.6862026862,6.993894994,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3282051282,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.11843712,141.362407,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.924,23-11-2021 09:45:19,0,1,6,11,-190,87.2,45.5,12.88,155
2.22954823,0.5970695971,-190.4761905,0.6862026862,6.993894994,20.8346685,-0.09970674487,-0.4046920821,-0.2637362637,-0.2827838828,0.5219941349,-0.005865102639,-0.2754578755,-0.3311355311,-0.1583577713,0.2639296188,-0.4732600733,-0.2857142857,4.728937729,4.278388278,13.11355311,141.5087957,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.255,23-11-2021 09:45:23,0,1,6,11,-190,87.2,45.5,12.88,155
2.22954823,0.5982905983,-190.3785104,0.6862026862,6.993894994,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3472527473,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.11355311,141.6553825,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.053,23-11-2021 09:45:28,0,1,6,11,-190,87.2,45.5,12.88,155
2.21978022,0.5946275946,-190.2808303,0.6886446886,7.003663004,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3282051282,-0.1583577713,0.2639296188,-0.4732600733,-0.2857142857,4.728937729,4.278388278,13.12332112,141.6553825,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.998,23-11-2021 09:45:32,0,1,6,11,-190,87.2,45.5,12.88,155
2.227106227,0.5958485958,-190.5738706,0.6874236874,6.993894994,20.8346685,-0.09970674487,-0.4046920821,-0.2666666667,-0.2813186813,0.5219941349,-0.005865102639,-0.2754578755,-0.3311355311,-0.1583577713,0.2639296188,-0.4732600733,-0.2857142857,4.728937729,4.278388278,13.12332112,141.362407,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.583,23-11-2021 09:45:36,0,1,6,11,-190,87.2,45.5,12.88,155
2.227106227,0.5982905983,-190.5738706,0.6862026862,6.993894994,20.8346685,-0.09970674487,-0.4046920821,-0.2637362637,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3399267399,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.12820513,141.5087957,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.492,23-11-2021 09:45:40,0,1,6,11,-190,87.2,45.5,12.88,155
2.224664225,0.5982905983,-190.4761905,0.6898656899,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2637362637,-0.2827838828,0.5219941349,-0.005865102639,-0.2769230769,-0.3355311355,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.12820513,141.5087957,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.717,23-11-2021 09:45:44,0,1,6,11,-190,87.2,45.5,12.88,155
2.222222222,0.5995115995,-190.5738706,0.6910866911,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3326007326,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.12332112,141.6553825,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.653,23-11-2021 09:45:48,0,1,6,11,-190,87.2,45.5,12.88,155
2.227106227,0.5995115995,-190.2808303,0.6874236874,6.998778999,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2783882784,0.5219941349,-0.005865102639,-0.2769230769,-0.3457875458,-0.1583577713,0.2639296188,-0.4732600733,-0.2857142857,4.728937729,4.278388278,13.11843712,141.6553825,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.492,23-11-2021 09:45:52,0,1,6,11,-190,87.2,45.5,12.88,155
2.21978022,0.5958485958,-190.3785104,0.6910866911,6.998778999,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2798534799,0.5219941349,-0.005865102639,-0.2769230769,-0.3457875458,-0.1583577713,0.2639296188,-0.4732600733,-0.2871794872,4.728937729,4.278388278,13.11355311,141.6553825,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.86,23-11-2021 09:45:56,0,1,6,11,-190,87.2,45.5,12.88,155
2.224664225,0.5982905983,-190.1831502,0.6874236874,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2637362637,-0.2813186813,0.5219941349,-0.005865102639,-0.2754578755,-0.3399267399,-0.1583577713,0.2639296188,-0.4732600733,-0.2871794872,4.728937729,4.278388278,13.11355311,141.802168,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.808,23-11-2021 09:46:00,0,1,6,11,-190,87.2,45.5,12.88,155
